date,location,sumConfirmed,sumRecovered,symptoms
"2020-05-02 00:00:00","United Kingdom",6516,0,29.64
"2020-05-02 00:00:00","United States",55566,9847,23.46
"2020-05-03 00:00:00",Australia,36,48,31.98
"2020-05-03 00:00:00",Ireland,266,0,29.2
"2020-05-03 00:00:00","New Zealand",1,0,37.77
"2020-05-03 00:00:00","United Kingdom",6004,0,30.47
"2020-05-03 00:00:00","United States",50672,2037,23.65
"2020-05-04 00:00:00",Australia,51,86,31.53
"2020-05-04 00:00:00",Ireland,211,0,28.68
"2020-05-04 00:00:00","New Zealand",0,0,33.46
"2020-05-04 00:00:00","United Kingdom",6796,0,30.22
"2020-05-04 00:00:00","United States",42731,6839,24.13
"2020-05-05 00:00:00",Australia,51,60,30.07
"2020-05-05 00:00:00",Ireland,265,0,30.36
"2020-05-05 00:00:00","New Zealand",2,0,33.66
"2020-05-05 00:00:00","United Kingdom",7372,0,28.27
"2020-05-05 00:00:00","United States",44602,2663,26.72
"2020-05-06 00:00:00",Australia,52,192,30.19
"2020-05-06 00:00:00",Ireland,137,0,29.36
"2020-05-06 00:00:00","New Zealand",2,0,33.89
"2020-05-06 00:00:00","United Kingdom",7664,0,26.7
"2020-05-06 00:00:00","United States",49090,3814,26.43
"2020-05-07 00:00:00",Australia,43,98,29.36
"2020-05-07 00:00:00",Ireland,156,0,29.36
"2020-05-07 00:00:00","New Zealand",1,0,33.27
"2020-05-07 00:00:00","United Kingdom",7574,0,25.6
"2020-05-07 00:00:00","United States",55137,4051,25.25
"2020-05-08 00:00:00",Australia,36,88,27.7
"2020-05-08 00:00:00",Ireland,219,0,25.84
"2020-05-08 00:00:00","New Zealand",1,0,31.43
"2020-05-08 00:00:00","United Kingdom",6128,0,24.39
"2020-05-08 00:00:00","United States",53844,2917,24.69
"2020-05-09 00:00:00",Australia,31,112,28.64
"2020-05-09 00:00:00",Ireland,236,0,27.6
"2020-05-09 00:00:00","New Zealand",1,0,31.37
"2020-05-09 00:00:00","United Kingdom",4340,0,25.15
"2020-05-09 00:00:00","United States",49886,11421,25.09
"2020-05-10 00:00:00",Australia,26,56,31.35
"2020-05-10 00:00:00",Ireland,139,0,30.45
"2020-05-10 00:00:00","New Zealand",3,0,35.08
"2020-05-10 00:00:00","United Kingdom",4674,0,27.07
"2020-05-10 00:00:00","United States",41935,2458,24.17
"2020-05-11 00:00:00",Australia,15,32,30.97
"2020-05-11 00:00:00",Ireland,107,0,30.8
"2020-05-11 00:00:00","New Zealand",0,0,34.55
"2020-05-11 00:00:00","United Kingdom",7224,0,27.37
"2020-05-11 00:00:00","United States",37141,6842,26.41
"2020-05-12 00:00:00",Australia,41,104,35.54
"2020-05-12 00:00:00",Ireland,159,0,31.56
"2020-05-12 00:00:00","New Zealand",0,0,35.58
"2020-05-12 00:00:00","United Kingdom",6820,0,29.24
"2020-05-12 00:00:00","United States",46144,6316,25.85
"2020-05-13 00:00:00",Australia,25,80,35.31
"2020-05-13 00:00:00",Ireland,426,0,31.4
"2020-05-13 00:00:00","New Zealand",0,0,33.61
"2020-05-13 00:00:00","United Kingdom",6660,0,30.23
"2020-05-13 00:00:00","United States",37656,3345,26.16
"2020-05-14 00:00:00",Australia,28,60,31
"2020-05-14 00:00:00",Ireland,129,0,30.41
"2020-05-14 00:00:00","New Zealand",1,0,34.84
"2020-05-14 00:00:00","United Kingdom",5260,0,31.04
"2020-05-14 00:00:00","United States",59903,2338,25.57
"2020-05-15 00:00:00",Australia,62,74,29.08
"2020-05-15 00:00:00",Ireland,92,0,33.03
"2020-05-15 00:00:00","New Zealand",1,0,32.05
"2020-05-15 00:00:00","United Kingdom",5060,0,28.86
"2020-05-15 00:00:00","United States",51231,3563,23.3
"2020-05-16 00:00:00",Australia,34,50,29.93
"2020-05-16 00:00:00",Ireland,64,0,37.96
"2020-05-16 00:00:00","New Zealand",1,0,32.19
"2020-05-16 00:00:00","United Kingdom",4164,0,32.24
"2020-05-16 00:00:00","United States",48371,9378,22.51
"2020-05-17 00:00:00",Australia,17,8,33.18
"2020-05-17 00:00:00",Ireland,88,0,34.99
